query,optimizer,loop,join_order,prep_time,exec_time,total_time
7b.sql,A,20,3-4-7-1-5-0-6-2-,15.07,432.607,449.003
21c.sql,A,20,0-4-7-3-1-5-6-2-8-,19.246,28431.1,28457.4
7c.sql,A,20,3-4-7-1-5-0-6-2-,19.52,16635.5,16667.9
25b.sql,A,20,8-0-7-4-1-5-2-6-3-,21.962,29234.8,29267.3
9d.sql,A,20,2-4-3-0-1-5-6-7-,14.544,1866.93,1895.56
28c.sql,A,20,12-11-6-10-5-9-3-4-7-0-1-2-13-8-,35.805,31363,31407.5
14a.sql,A,20,4-6-2-0-5-1-7-3-,16.405,28948.5,28970.8
25a.sql,A,20,3-6-0-7-4-1-5-2-8-,19.641,28523.2,28551.1
12c.sql,A,20,7-4-0-1-5-2-6-3-,15.109,27977.9,27995.8
16d.sql,A,20,4-5-3-1-0-6-2-7-,12.861,7029.95,7050.99
20a.sql,A,20,0-4-3-8-1-2-7-5-9-6-,19.558,1238.13,1271.33
6e.sql,A,20,0-3-4-2-1-,7.564,444.976,459.46
3c.sql,A,20,0-2-3-1-,6.907,28423.4,28433.6
8c.sql,A,20,1-4-0-3-2-5-6-,10.447,12337.3,12357.8
11b.sql,A,20,3-6-7-5-2-4-0-1-,15.485,135.243,152.404
21b.sql,A,20,3-7-4-0-1-5-6-2-8-,17.204,27984.8,28008.8
19b.sql,A,20,0-2-5-3-1-6-4-8-9-7-,19.177,28450.1,28473.3
24a.sql,A,20,3-6-7-4-2-0-1-9-10-8-5-11-,25.241,29229.6,29267.5
1a.sql,A,20,0-2-3-1-4-,8.541,286.46,299.099
23a.sql,A,20,10-8-4-6-9-5-7-3-2-0-1-,21.309,27810,27838.3
29c.sql,A,20,12-10-6-11-7-5-4-0-13-15-14-8-1-2-9-3-16-,40.306,60410.5,60512.9
22a.sql,A,20,3-8-6-0-1-7-2-9-4-10-5-,27.971,30737.1,30770.4
26c.sql,A,20,4-3-0-1-2-8-5-9-6-10-11-7-,26.655,1815,1849.1
27a.sql,A,20,5-9-7-3-4-8-0-1-2-10-6-11-,25.843,29735.2,29764
17c.sql,A,20,1-3-6-0-5-4-2-,10.973,11354.4,11369.4
30b.sql,A,20,2-0-3-10-1-7-4-8-5-9-6-11-,29.257,30544,30580
3b.sql,A,20,0-2-3-1-,6.23,29477.2,29484.9
18b.sql,A,20,5-0-6-3-1-4-2-,14.778,30316.8,30333.6
33b.sql,A,20,11-7-9-2-10-3-8-1-6-12-4-0-13-5-,28.54,423.93,459.213
1c.sql,A,20,0-2-3-1-4-,8.082,131.821,141.795
31c.sql,A,20,2-6-5-1-0-9-7-3-8-4-10-,27.332,29786.1,29823.3
28b.sql,A,20,12-11-6-10-5-9-3-4-7-0-1-2-13-8-,33.417,28623.6,28661.2
7a.sql,A,20,7-4-1-0-5-6-2-3-,14.591,1274.8,1291.68
4a.sql,A,20,0-2-3-1-4-,7.188,183.798,193.365
16b.sql,A,20,5-3-1-0-6-4-2-7-,11.977,2835.59,2852.77
18c.sql,A,20,1-3-6-0-5-4-2-,14.233,29582.2,29600.9
20b.sql,A,20,0-4-3-8-1-2-7-5-9-6-,20.436,1022.27,1046.24
9a.sql,A,20,4-7-2-0-1-5-6-3-,14.892,1145.46,1166.94
22c.sql,A,20,7-2-6-0-1-8-3-9-4-10-5-,24.546,29372.7,29401.6
22d.sql,A,20,8-6-0-1-7-2-3-9-4-10-5-,23.397,30304.7,30336.2
2b.sql,A,20,0-2-3-1-4-,6.993,238.921,249.912
8d.sql,A,20,1-4-0-3-2-5-6-,10.506,11414.9,11430.8
32b.sql,A,20,5-3-4-1-2-0-,9.094,359.384,371.742
9c.sql,A,20,4-7-2-0-1-5-6-3-,14.751,2137.97,2162.89
12b.sql,A,20,7-4-0-1-5-2-6-3-,14.898,27728.9,27744.8
17b.sql,A,20,1-3-6-0-5-4-2-,10.627,13625.7,13638.7
1d.sql,A,20,0-2-3-1-4-,7.238,174.978,184.491
27b.sql,A,20,5-9-7-3-4-8-0-1-2-10-6-11-,24.898,27808.6,27835
13a.sql,A,20,5-6-3-1-0-7-2-8-4-,14.29,29460.7,29479.1
25c.sql,A,20,3-6-0-7-4-1-5-2-8-,20.374,29427.9,29454
6b.sql,A,20,0-3-4-2-1-,9.628,382.617,396.354
